STATE,UNIT_TYPE,PARKNAME,Shape__Are,mi,km,acres,measure_type
VA,National Monument,Booker T Washington,1555430.516,,,,
VA,National Monument,George Washington Birthplace,4316894.16,,,,
VA,National Monument,Fort Monroe,2341654.977,,,,
VA,National Park,Shenandoah,1309300933,,,,
VA,Other Designation,Prince William Forest,92507002,,,,
VA,Other Designation,Wolf Trap NP for the Performing Arts,897748.418,,,,
VI,National Historic Site,Christiansted,116677.5352,,,,
VI,National Historical Park,Salt River Bay,4603167.86,,,,
VI,National Monument,Virgin Islands Coral Reef,62764769.92,,,,
VI,National Monument,Buck Island Reef,85236901.32,,,,
VI,National Park,Virgin Islands,67815446.81,,,,
VT,National Historical Park,Marsh - Billings - Rockefeller,4988704.031,,,,
WA,National Historic Site,Whitman Mission,1165190.602,,,,
WA,National Historical Park,San Juan Island,19608318.22,,,,
WA,National Park,Mount Rainier,2045641242,,,,
WA,National Park,North Cascades,4656124607,,,,
WA,National Park,Olympic,8203590771,,,,
WA,National Recreation Area,Lake Roosevelt,717714786.5,,,,
WA,National Recreation Area,Lake Chelan,576004189.3,,,,
WA,National Recreation Area,Ross Lake,1087597962,,,,
WA,National Reserve,Ebey's Landing,164337932.4,,,,
WI,National Lakeshore,Apostle Islands,632060717.1,,,,
WI,National Trails Syste,Ice Age,1849202.133,,,,
WV,National Preserve,New River Gorge,466875555.2,,,,
WV,National Recreation Area,Gauley River,72806850.35,,,,
WV,National Wild & Scenic River,Bluestone,27851054.72,,,,
WY,National Historic Site,Fort Laramie,6622287.379,,,,
WY,National Monument,Devils Tower,10774321.39,,,,
WY,National Monument,Fossil Butte,60721809.99,,,,
WY,National Park,Grand Teton,2410496679,,,,
WY,Parkway,John D Rockefeller Jr,185341715.4,,,,
